Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,09999084
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,06634521
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,1445618
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,8229218
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,06638336
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,0475769
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 1,206741
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,1116333
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,1996307
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,04482269
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 3,149353
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,07809448
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,4111023
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,06317139
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,155838
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,04455566
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,03167725
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,1449432
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,03077698
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,1326599
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,2439117
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,4705811
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,01112366
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,2014771
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,01109314
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,9624176
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,8118286
Player: 11111, Scene: Followcircle - Arrow, RecoveryTime: 0,06536865
Player: 11111, Scene: Followcircle - Regular, RecoveryTime: 0,03408813
Player: 11111, Scene: Followcircle - Regular, RecoveryTime: 0,2660217
Player: 11111, Scene: Followcircle - Regular, RecoveryTime: 0,01077271
Player: 11111, Scene: Followcircle - Regular, RecoveryTime: 0,0118103
Player: 11111, Scene: Followcircle - Regular, RecoveryTime: 0,0663147
Player: 11111, Scene: Followcircle - Regular, RecoveryTime: 0,3974304
Player: 11111, Scene: Followcircle - Regular, RecoveryTime: 0,2226257
Player: 11111, Scene: Followcircle - Regular, RecoveryTime: 0,06695557
Player: 11111, Scene: Followcircle - Regular, RecoveryTime: 0,06643677
Player: 11111, Scene: Followcircle - Regular, RecoveryTime: 0,1776428
Player: 11111, Scene: Followcircle - Regular, RecoveryTime: 0,04464722
Player: 11111, Scene: Followcircle - Regular, RecoveryTime: 0,1268005
Player: 11111, Scene: Followcircle - Regular, RecoveryTime: 0,01092529
Player: 11111, Scene: Followcircle - Regular, RecoveryTime: 0,04428101
Player: 11111, Scene: Followcircle - Regular, RecoveryTime: 0,1221008
Player: 11111, Scene: Followcircle - Regular, RecoveryTime: 0,04110718
Player: 11111, Scene: Followcircle - Regular, RecoveryTime: 0,2072449
Player: 11111, Scene: Followcircle - Regular, RecoveryTime: 0,4994507
Player: 11111, Scene: Followcircle - Regular, RecoveryTime: 0,0329895
Player: 11111, Scene: Followcircle - Regular, RecoveryTime: 0,05599976
Player: 11111, Scene: Followcircle - Regular, RecoveryTime: 0,02279663
